Trade,Type,Signal,Date/Time,Price USD,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
45,Entry Long,Long,9/3/2019 9:30,18.13,55,26.58,2.66,208.08,0.26,54.55,5.47,1,0.1
44,Exit Short,Long,9/3/2019 9:30,18.13,56,-23.29,-2.34,181.5,-0.23,0,0,22.27,2.24
44,Entry Short,Short,8/28/2019 9:30,17.75,56,-23.29,-2.34,181.5,-0.23,0,0,22.27,2.24
43,Exit Long,Short,8/28/2019 9:30,17.75,55,-21.77,-2.18,204.79,-0.21,0.1,0.01,20.8,2.09
43,Entry Long,Long,8/21/2019 9:30,18.11,55,-21.77,-2.18,204.79,-0.21,0.1,0.01,20.8,2.09
42,Exit Short,Long,8/21/2019 9:30,18.11,53,27.73,2.8,226.56,0.27,65.26,6.59,3.64,0.37
42,Entry Short,Short,8/1/2019 12:30,18.67,53,27.73,2.8,226.56,0.27,65.26,6.59,3.64,0.37
41,Exit Long,Short,8/1/2019 12:30,18.67,52,-12.35,-1.26,198.83,-0.12,9.42,0.96,11.38,1.16
41,Entry Long,Long,7/26/2019 9:30,18.87,52,-12.35,-1.26,198.83,-0.12,9.42,0.96,11.38,1.16
40,Exit Short,Long,7/26/2019 9:30,18.87,53,-13.12,-1.33,211.18,-0.13,0,0,12.12,1.22
40,Entry Short,Short,7/17/2019 9:30,18.66,53,-13.12,-1.33,211.18,-0.13,0,0,12.12,1.22
39,Exit Long,Short,7/17/2019 9:30,18.66,56,46.68,4.68,224.3,0.46,66.76,6.69,1,0.1
39,Entry Long,Long,6/18/2019 9:30,17.79,56,46.68,4.68,224.3,0.46,66.76,6.69,1,0.1
38,Exit Short,Long,6/18/2019 9:30,17.79,56,-18.22,-1.86,177.62,-0.18,30.38,3.1,23.94,2.44
38,Entry Short,Short,5/20/2019 12:30,17.5,56,-18.22,-1.86,177.62,-0.18,30.38,3.1,23.94,2.44
37,Exit Long,Short,5/20/2019 12:30,17.5,56,-23.26,-2.32,195.84,-0.23,2.92,0.29,22.28,2.22
37,Entry Long,Long,5/16/2019 9:30,17.88,56,-23.26,-2.32,195.84,-0.23,2.92,0.29,22.28,2.22
36,Exit Short,Long,5/16/2019 9:30,17.88,55,-8.56,-0.88,219.1,-0.08,24.32,2.49,12.53,1.28
36,Entry Short,Short,4/26/2019 12:30,17.76,55,-8.56,-0.88,219.1,-0.08,24.32,2.49,12.53,1.28
35,Exit Long,Short,4/26/2019 12:30,17.76,55,-15.72,-1.59,227.66,-0.15,13.86,1.4,14.74,1.49
35,Entry Long,Long,4/2/2019 9:30,18.01,55,-15.72,-1.59,227.66,-0.15,13.86,1.4,14.74,1.49
34,Exit Short,Long,4/2/2019 9:30,18.01,56,-41.74,-4.3,243.38,-0.41,0,0,40.73,4.2
34,Entry Short,Short,3/25/2019 12:30,17.3,56,-41.74,-4.3,243.38,-0.41,0,0,40.73,4.2
33,Exit Long,Short,3/25/2019 12:30,17.3,56,-28.28,-2.84,285.12,-0.27,9.08,0.91,27.32,2.74
33,Entry Long,Long,3/18/2019 15:30,17.77,56,-28.28,-2.84,285.12,-0.27,9.08,0.91,27.32,2.74
32,Exit Short,Long,3/18/2019 15:30,17.77,57,-28.22,-2.86,313.4,-0.27,0,0,27.21,2.75
32,Entry Short,Short,3/7/2019 15:30,17.31,57,-28.22,-2.86,313.4,-0.27,0,0,27.21,2.75
31,Exit Long,Short,3/7/2019 15:30,17.31,67,151.26,15.02,341.62,1.48,181.23,17.99,3.02,0.3
31,Entry Long,Long,1/2/2019 12:30,15.02,67,151.26,15.02,341.62,1.48,181.23,17.99,3.02,0.3
30,Exit Short,Long,1/2/2019 12:30,15.02,61,66.42,6.74,190.36,0.66,107.6,10.92,10.74,1.09
30,Entry Short,Short,12/7/2018 9:30,16.14,61,66.42,6.74,190.36,0.66,107.6,10.92,10.74,1.09
29,Exit Long,Short,12/7/2018 9:30,16.14,59,-58.01,-5.75,123.94,-0.57,0,0,57.06,5.65
29,Entry Long,Long,12/3/2018 9:30,17.09,59,-58.01,-5.75,123.94,-0.57,0,0,57.06,5.65
28,Exit Short,Long,12/3/2018 9:30,17.09,56,14.87,1.53,181.95,0.15,71.27,7.31,0.97,0.1
28,Entry Short,Short,11/13/2018 9:30,17.39,56,14.87,1.53,181.95,0.15,71.27,7.31,0.97,0.1
27,Exit Long,Short,11/13/2018 9:30,17.39,57,-36.22,-3.53,167.08,-0.35,20.06,1.95,35.23,3.43
27,Entry Long,Long,11/2/2018 9:30,17.99,57,-36.22,-3.53,167.08,-0.35,20.06,1.95,35.23,3.43
26,Exit Short,Long,11/2/2018 9:30,17.99,55,7.91,0.79,203.29,0.08,90.3,9.03,10.9,1.09
26,Entry Short,Short,10/18/2018 12:30,18.17,55,7.91,0.79,203.29,0.08,90.3,9.03,10.9,1.09
25,Exit Long,Short,10/18/2018 12:30,18.17,53,-26.33,-2.66,195.38,-0.26,4.84,0.49,25.37,2.57
25,Entry Long,Long,10/16/2018 12:30,18.63,53,-26.33,-2.66,195.38,-0.26,4.84,0.49,25.37,2.57
24,Exit Short,Long,10/16/2018 12:30,18.63,49,67.2,6.84,221.71,0.66,109.27,11.12,4.41,0.45
24,Entry Short,Short,10/2/2018 12:30,20.04,49,67.2,6.84,221.71,0.66,109.27,11.12,4.41,0.45
23,Exit Long,Short,10/2/2018 12:30,20.04,49,-1.96,-0.2,154.52,-0.02,18.62,1.89,8.82,0.9
23,Entry Long,Long,9/14/2018 9:30,20.04,49,-1.96,-0.2,154.52,-0.02,18.62,1.89,8.82,0.9
22,Exit Short,Long,9/14/2018 9:30,20.04,49,-0.98,-0.1,156.48,-0.01,20.09,2.04,4.41,0.45
22,Entry Short,Short,9/5/2018 9:30,20.06,49,-0.98,-0.1,156.48,-0.01,20.09,2.04,4.41,0.45
21,Exit Long,Short,9/5/2018 9:30,20.06,51,27.05,2.72,157.47,0.27,50.52,5.08,0.99,0.1
21,Entry Long,Long,8/21/2018 15:30,19.49,51,27.05,2.72,157.47,0.27,50.52,5.08,0.99,0.1
20,Exit Short,Long,8/21/2018 15:30,19.49,50,19.03,1.91,130.41,0.19,35,3.51,5.5,0.55
20,Entry Short,Short,8/10/2018 9:30,19.91,50,19.03,1.91,130.41,0.19,35,3.51,5.5,0.55
19,Exit Long,Short,8/10/2018 9:30,19.91,49,-12.25,-1.24,111.38,-0.12,6.36,0.64,11.28,1.14
19,Entry Long,Long,8/7/2018 9:30,20.12,49,-12.25,-1.24,111.38,-0.12,6.36,0.64,11.28,1.14
18,Exit Short,Long,8/7/2018 9:30,20.12,49,11.25,1.12,123.64,0.11,22.52,2.25,0,0
18,Entry Short,Short,7/30/2018 9:30,20.39,49,11.25,1.12,123.64,0.11,22.52,2.25,0,0
17,Exit Long,Short,7/30/2018 9:30,20.39,51,44.38,4.46,112.39,0.44,64.8,6.52,7.11,0.72
17,Entry Long,Long,6/29/2018 9:30,19.48,51,44.38,4.46,112.39,0.44,64.8,6.52,7.11,0.72
16,Exit Short,Long,6/29/2018 9:30,19.48,48,36.01,3.7,68.01,0.36,59.03,6.06,15.37,1.58
16,Entry Short,Short,6/19/2018 9:30,20.27,48,36.01,3.7,68.01,0.36,59.03,6.06,15.37,1.58
15,Exit Long,Short,6/19/2018 9:30,20.27,49,-3.46,-0.35,32,-0.03,25.47,2.56,2.46,0.25
15,Entry Long,Long,6/1/2018 9:30,20.3,49,-3.46,-0.35,32,-0.03,25.47,2.56,2.46,0.25
14,Exit Short,Long,6/1/2018 9:30,20.3,49,-20.59,-2.11,35.46,-0.2,1.96,0.2,19.6,2.01
14,Entry Short,Short,5/29/2018 9:30,19.92,49,-20.59,-2.11,35.46,-0.2,1.96,0.2,19.6,2.01
13,Exit Long,Short,5/29/2018 9:30,19.92,51,27.58,2.79,56.05,0.27,50.52,5.12,3.54,0.36
13,Entry Long,Long,5/4/2018 9:30,19.34,51,27.58,2.79,56.05,0.27,50.52,5.12,3.54,0.36
12,Exit Short,Long,5/4/2018 9:30,19.34,52,-23.31,-2.37,28.47,-0.23,7.86,0.8,22.3,2.26
12,Entry Short,Short,4/24/2018 12:30,18.93,52,-23.31,-2.37,28.47,-0.23,7.86,0.8,22.3,2.26
11,Exit Long,Short,4/24/2018 12:30,18.93,52,-9.78,-0.98,51.78,-0.1,17.73,1.79,8.79,0.89
11,Entry Long,Long,4/10/2018 15:30,19.08,52,-9.78,-0.98,51.78,-0.1,17.73,1.79,8.79,0.89
10,Exit Short,Long,4/10/2018 15:30,19.08,49,58.83,5.9,61.56,0.59,96.51,9.68,1.49,0.15
10,Entry Short,Short,3/16/2018 9:30,20.32,49,58.83,5.9,61.56,0.59,96.51,9.68,1.49,0.15
9,Exit Long,Short,3/16/2018 9:30,20.32,50,7.48,0.74,2.73,0.07,29.49,2.93,6.01,0.6
9,Entry Long,Long,3/6/2018 9:30,20.13,50,7.48,0.74,2.73,0.07,29.49,2.93,6.01,0.6
8,Exit Short,Long,3/6/2018 9:30,20.13,50,-19,-1.92,-4.75,-0.19,27.01,2.73,17.99,1.82
8,Entry Short,Short,3/1/2018 9:30,19.79,50,-19,-1.92,-4.75,-0.19,27.01,2.73,17.99,1.82
7,Exit Long,Short,3/1/2018 9:30,19.79,49,-21.56,-2.18,14.25,-0.21,0,0,20.59,2.08
7,Entry Long,Long,2/26/2018 12:30,20.19,49,-21.56,-2.18,14.25,-0.21,0,0,20.59,2.08
6,Exit Short,Long,2/26/2018 12:30,20.19,50,-23,-2.32,35.81,-0.23,3.51,0.35,21.99,2.22
6,Entry Short,Short,2/22/2018 9:30,19.77,50,-23,-2.32,35.81,-0.23,3.51,0.35,21.99,2.22
5,Exit Long,Short,2/22/2018 9:30,19.77,52,37.5,3.79,58.81,0.37,60.37,6.1,8.27,0.84
5,Entry Long,Long,2/13/2018 15:30,19.01,52,37.5,3.79,58.81,0.37,60.37,6.1,8.27,0.84
4,Exit Short,Long,2/13/2018 15:30,19.01,47,86.95,8.84,21.3,0.88,137.67,14,1.45,0.15
4,Entry Short,Short,1/31/2018 9:30,20.9,47,86.95,8.84,21.3,0.88,137.67,14,1.45,0.15
3,Exit Long,Short,1/31/2018 9:30,20.9,46,-22.64,-2.3,-65.65,-0.23,3.16,0.32,21.68,2.21
3,Entry Long,Long,1/29/2018 9:30,21.35,46,-22.64,-2.3,-65.65,-0.23,3.16,0.32,21.68,2.21
2,Exit Short,Long,1/29/2018 9:30,21.35,47,-22.67,-2.3,-43.01,-0.23,0,0,21.66,2.2
2,Entry Short,Short,1/25/2018 12:30,20.91,47,-22.67,-2.3,-43.01,-0.23,0,0,21.66,2.2
1,Exit Long,Short,1/25/2018 12:30,20.91,46,-20.34,-2.07,-20.34,-0.2,0.86,0.09,19.38,1.98
1,Entry Long,Long,1/23/2018 12:30,21.31,46,-20.34,-2.07,-20.34,-0.2,0.86,0.09,19.38,1.98
